#OTU ID	Top2	Fine2	Top3	Fine3	Top4	Fine4
OTU_1	3889.0	2243.0	9672.0	37222.0	2540.0	49282.0
OTU_2	369.0	1283.0	8915.0	277.0	11665.0	286.0
OTU_3	10319.0	3767.0	1676.0	1223.0	6559.0	276.0
OTU_4	14.0	36.0	523.0	17.0	222.0	488.0
OTU_5	156.0	5740.0	193.0	2639.0	184.0	495.0
OTU_6	219.0	255.0	8015.0	129.0	5.0	98.0
OTU_7	89.0	183.0	69.0	76.0	32.0	177.0
OTU_8	255.0	5908.0	667.0	1021.0	787.0	252.0
OTU_9	233.0	118.0	283.0	325.0	440.0	766.0
OTU_10	1612.0	439.0	1082.0	236.0	527.0	1984.0
OTU_11	55.0	3762.0	66.0	245.0	95.0	21.0
OTU_12	72.0	1578.0	139.0	2190.0	135.0	290.0
OTU_13	149.0	1845.0	66.0	136.0	98.0	106.0
OTU_14	47.0	1689.0	60.0	92.0	119.0	86.0
OTU_15	38.0	66.0	100.0	76.0	46.0	90.0
OTU_16	1146.0	370.0	652.0	210.0	1111.0	43.0
OTU_17	1495.0	441.0	446.0	261.0	879.0	34.0
OTU_18	887.0	642.0	917.0	515.0	978.0	107.0
OTU_19	1474.0	187.0	853.0	174.0	752.0	29.0
OTU_20	155.0	114.0	113.0	740.0	173.0	13.0
OTU_21	19.0	386.0	52.0	709.0	66.0	61.0
OTU_22	70.0	45.0	1193.0	41.0	2.0	0.0
OTU_23	45.0	114.0	25.0	161.0	17.0	51.0
OTU_24	800.0	207.0	587.0	305.0	87.0	18.0
OTU_25	159.0	3451.0	269.0	989.0	129.0	364.0
OTU_26	37.0	184.0	153.0	193.0	164.0	19.0
OTU_27	15.0	64.0	82.0	172.0	417.0	5.0
OTU_28	3.0	53.0	54.0	4.0	646.0	11.0
OTU_29	602.0	117.0	40.0	37.0	164.0	5.0
OTU_30	31.0	66.0	627.0	72.0	50.0	1.0
OTU_31	20.0	15.0	4.0	13.0	6.0	14.0
OTU_32	15.0	28.0	22.0	14.0	3.0	42.0
OTU_33	694.0	76.0	10.0	12.0	56.0	6.0
OTU_34	66.0	237.0	302.0	305.0	311.0	47.0
OTU_35	20.0	67.0	727.0	48.0	1.0	0.0
OTU_36	645.0	555.0	55.0	226.0	38.0	64.0
OTU_37	7.0	12.0	12.0	6.0	1.0	21.0
OTU_38	11.0	386.0	13.0	110.0	11.0	14.0
OTU_39	19.0	478.0	23.0	212.0	20.0	51.0
OTU_40	13.0	17.0	6.0	3.0	0.0	14.0
OTU_41	152.0	262.0	444.0	177.0	17.0	20.0
OTU_42	65.0	57.0	259.0	49.0	130.0	7.0
OTU_43	10.0	23.0	9.0	8.0	0.0	11.0
OTU_44	117.0	25.0	78.0	16.0	145.0	10.0
OTU_45	77.0	45.0	108.0	53.0	138.0	6.0
OTU_46	13.0	22.0	13.0	21.0	313.0	9.0
OTU_47	4.0	6.0	5.0	1.0	1.0	4.0
OTU_48	416.0	203.0	114.0	90.0	256.0	16.0
OTU_49	12.0	257.0	9.0	19.0	5.0	12.0
OTU_50	67.0	251.0	42.0	55.0	14.0	14.0
OTU_51	6.0	42.0	107.0	13.0	34.0	7.0
OTU_52	287.0	28.0	34.0	10.0	83.0	7.0
OTU_53	7.0	9.0	150.0	35.0	77.0	2.0
OTU_54	11.0	270.0	7.0	26.0	15.0	5.0
OTU_55	181.0	10.0	65.0	10.0	0.0	0.0
OTU_56	96.0	19.0	47.0	38.0	70.0	0.0
OTU_57	4.0	12.0	7.0	7.0	0.0	26.0
OTU_58	16.0	343.0	25.0	240.0	312.0	59.0
OTU_59	2.0	196.0	6.0	29.0	13.0	10.0
OTU_60	170.0	31.0	114.0	41.0	58.0	4.0
OTU_61	43.0	29.0	37.0	11.0	152.0	5.0
OTU_62	7.0	6.0	12.0	7.0	2.0	11.0
OTU_63	3.0	187.0	4.0	4.0	3.0	3.0
OTU_64	7.0	147.0	5.0	54.0	3.0	14.0
OTU_65	35.0	34.0	72.0	18.0	96.0	4.0
OTU_66	247.0	15.0	3.0	9.0	34.0	2.0
OTU_67	37.0	164.0	15.0	88.0	7.0	18.0
OTU_68	1.0	27.0	25.0	13.0	239.0	3.0
OTU_70	11.0	209.0	2.0	27.0	5.0	9.0
OTU_71	59.0	60.0	29.0	22.0	28.0	4.0
OTU_72	1.0	145.0	2.0	7.0	5.0	2.0
OTU_73	33.0	18.0	63.0	15.0	95.0	4.0
OTU_74	0.0	129.0	3.0	23.0	3.0	23.0
OTU_75	28.0	104.0	11.0	51.0	5.0	26.0
OTU_76	180.0	24.0	4.0	5.0	67.0	0.0
OTU_77	14.0	55.0	30.0	36.0	51.0	6.0
OTU_78	435.0	99.0	104.0	57.0	195.0	16.0
OTU_79	49.0	34.0	78.0	32.0	5.0	0.0
OTU_80	182.0	46.0	15.0	24.0	6.0	1.0
OTU_81	3.0	3.0	4.0	2.0	10.0	473.0
OTU_82	4.0	31.0	14.0	7.0	6.0	5.0
OTU_83	7.0	3.0	4.0	3.0	2.0	8.0
OTU_84	6.0	15.0	112.0	8.0	2.0	1.0
OTU_85	10.0	351.0	12.0	124.0	17.0	20.0
OTU_86	8.0	149.0	99.0	90.0	18.0	15.0
OTU_87	24.0	75.0	23.0	19.0	100.0	9.0
OTU_88	6.0	113.0	4.0	2.0	5.0	0.0
OTU_89	91.0	28.0	60.0	31.0	12.0	1.0
OTU_90	12.0	27.0	116.0	31.0	5.0	1.0
OTU_91	0.0	6.0	4.0	5.0	177.0	2.0
OTU_92	18.0	35.0	26.0	5.0	103.0	3.0
OTU_93	227.0	425.0	262.0	102.0	302.0	4623.0
OTU_94	76.0	69.0	20.0	46.0	14.0	4.0
OTU_95	0.0	11.0	34.0	10.0	85.0	2.0
OTU_96	0.0	2.0	3.0	1.0	0.0	3.0
OTU_97	37.0	21.0	43.0	28.0	29.0	2.0
OTU_98	11.0	32.0	99.0	35.0	5.0	6.0
OTU_99	60.0	37.0	36.0	8.0	21.0	2.0
OTU_100	46.0	22.0	32.0	16.0	52.0	0.0
OTU_101	35.0	11.0	27.0	3.0	31.0	1.0
OTU_102	13.0	60.0	37.0	39.0	7.0	1.0
OTU_103	1.0	4.0	0.0	4.0	0.0	4.0
OTU_104	97.0	59.0	56.0	16.0	17.0	2.0
OTU_105	69.0	33.0	42.0	18.0	6.0	2.0
OTU_106	8.0	1.0	2.0	3.0	0.0	2.0
